Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Type_of_Structure,Work_Description,Active_Parcel,District
"DEVONLY-2022-05060","2022-04-12 12:00:00","2022-05-09 12:00:00","2022-05-09 12:00:00","2023-05-09 12:00:00","Development Only Permit","Residential","New Building","Completed",175268,1621,"OLD SAMBRO RD","HARRIETSFIELD","41472036","Dwelling - Single Detached","Proposed construction of a new single family dwelling.","Y","District 11"
"DEVONLY-2022-06554","2023-03-22 12:00:00",,,,"Development Only Permit","Residential","New Building","Applicant Revisions",62351,3545,"ROBIE ST","HALIFAX","00174250","Dwelling - Multiple Units","New multi-unit residential development with 75 proposed units and one level of underground parking.","Y","District 08"
"DEVONLY-2022-08371","2022-06-12 12:00:00","2022-07-07 12:00:00","2022-07-07 12:00:00","2023-07-07 12:00:00","Development Only Permit","Residential","Home Occupation","Completed",13831,9,"SUMAC LANE","HALIFAX","00293787","Dwelling - Single Detached","New home occupation for personal service (eyelash extensions)","Y","District 10"
"DEVONLY-2022-09477","2022-07-11 12:00:00","2022-07-18 12:00:00","2022-07-18 12:00:00","2023-07-18 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",93839,4650,"HIGHWAY 2","WELLINGTON","41478587","Accessory Structure","10x14 shed","Y","District 01"
"DEVONLY-2022-10618","2022-07-30 12:00:00","2022-08-18 12:00:00","2022-08-18 12:00:00","2023-08-18 12:00:00","Development Only Permit","Residential","New Building","Completed",137236,20,"WENTWORTH DR","HALIFAX","41173048","Dwelling - Multiple Units","to assure this is a valid building lot","Y","District 10"
"DEVONLY-2022-11764","2022-08-26 12:00:00","2022-08-31 12:00:00","2022-08-31 12:00:00","2023-08-31 12:00:00","Development Only Permit","Residential","Home Occupation","Completed",139393,30,"HARBOUR BREEZE WAY","KETCH HARBOUR","41233115","Dwelling - Single Detached","Home occupation (hair salon) accessory to single unit dwelling","Y","District 11"
"DEVONLY-2022-12749","2022-09-20 12:00:00","2022-09-28 12:00:00","2022-09-28 12:00:00","2023-09-28 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",99344,2087,"WAVERLEY RD","WAVERLEY","00519868","Accessory Structure","Construct addition to existing accessory structure","Y","District 01"
"DEVONLY-2022-13835","2022-10-20 12:00:00","2022-11-02 12:00:00","2022-11-02 12:00:00","2023-11-02 12:00:00","Development Only Permit","Residential","New Building","Completed",86514,8,"POTTERY LANE","HALIFAX","40091720","Dwelling - Single Detached","Development permit for SUD, backyard suite, and boathouse.","Y","District 11"
"DEVONLY-2022-14646","2022-11-11 12:00:00","2023-01-03 12:00:00","2023-01-03 12:00:00","2024-01-03 12:00:00","Development Only Permit","Residential","New Building","Completed",174572,5,"SALTBUSH LANE","UPPER HAMMONDS PLAINS","41517889","Dwelling - Multiple Units","Construct multiple residential townhouses.","Y","District 14"
"DEVONLY-2022-15618","2022-12-13 12:00:00",,"2024-02-02 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",170373,6566,"ST MARGARETS BAY RD","HEAD OF ST MARGARETS BAY","40304198","Accessory Structure","I have a shelter over part of a walkway on my property where I store wood for the winter. I was informed by compliance officer Valerie Rodger that a development permit would be required for this","Y","District 13"
